
=== 10.1 Non-CR Elect. ===
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [SA 1] {1200 mmx1800 mm-1200 mmx1800 mm} × 2
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [SA 1] {1200 mmx2400 mm-1200 mmx2400 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [SA 1] {2400 mmx1200 mm-2400 mmx1200 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [SA 1] {700 mmx350 mm-700 mmx350 mm} × 1
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [SA 1] {850 mmx400 mm-850 mmx400 mm} × 3
  Duct Fittings          | MH_M_Rectangular Elbow - Radius | 1 W [SA 4] {500 mmx1100 mm-500 mmx1100 mm} × 2
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [EA 1] {1050 mmx700 mm} × 3
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [EA 1] {2400 mmx1350 mm} × 2
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [EA 5] {3450 mmx1000 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [EA 6] {950 mmx450 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [MA 11] {300 mmx300 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [MA 14] {1200 mmx700 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [MA 5] {1100 mmx700 mm} × 2
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [MA 5] {550 mmx450 mm} × 4
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [MA 6] {300 mmx350 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [MA 6] {450 mmx350 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [RA 2] {3500 mmx1200 mm} × 2
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [SA 1] {1000 mmx600 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [SA 1] {1800 mmx800 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [SA 1] {3600 mmx1500 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [SA 1] {700 mmx350 mm} × 1
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [SA 1] {850 mmx400 mm} × 2
  Duct Fittings          | MH_M_Rectangular Endcap | Standard [SA 4] {1100 mmx500 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 10] {900 mmx450 mm-900 mmx450 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 12] {650 mmx250 mm-650 mmx250 mm} × 4
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 1] {1400 mmx800 mm-1400 mmx800 mm} × 4
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 1] {2100 mmx700 mm-2100 mmx700 mm} × 3
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 1] {900 mmx450 mm-900 mmx450 mm} × 21
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 5] {1400 mmx800 mm-1400 mmx800 mm} × 4
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 5] {2150 mmx900 mm-2150 mmx900 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [EA 6] {1350 mmx350 mm-1350 mmx350 mm} × 3
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 11] {500 mmx200 mm-500 mmx200 mm} × 6
