Sheet,WBS,S.NO,Description,Unit,Qty
"8 Waste Water","8","1.4.2","PTP procedure","Lot",0
"8 Waste Water","8","1.4.3","Coordination for tie‑in opening as per SIPP","Lot",0
"8 Waste Water","8","1.4.4","Vent turn on to 1 laterals","Lot",0
"8 Waste Water","8","1.4.5","Monitoring the system loading","Lot",0
"8 Waste Water","8","1.4.6","Site Acceptance Test","Lot",0
"8 Waste Water","8","1.4.7","Spares (GC to proposed)","Nos.",0
"8 Waste Water","8","1.5","Operation & maintenance Manual","Hours",0
"8 Waste Water","8","1.6","Training to Micron maintance & operation team","2 time",0
"8 Waste Water","8","1.7","DLP (Defects liability Period-24 months)","-",0
"9.1 ACS","9.1","1","ACCESS CONTROL SYTEM COMPONENTS","Nos.",0
"9.1 ACS","9.1","1.1","ACCESS CONTROL SYTEM- CUB LEVEL-1","Nos.",0
"9.1 ACS","9.1","1.1.1","Door Type - A1 Emergency Exit Single Leaf Door
(Door Contact, Buzzer)","Nos.",0
"9.1 ACS","9.1","1.1.2","Door Type - A2 Emergency Exit Double Leaf Door
(Door Contact-2 nos, PushBar, Buzzer)","Nos.",0
"9.1 ACS","9.1","1.1.3","Door Type - C Non-Emergency Double Leaf Door
(Card reader -2 nos., EM lock-2 nos, Door contact-2 nos, Break glass unit-1no. )","Nos.",0
"9.1 ACS","9.1","1.1.4","Door Type - D Non-Emergency Single Leaf Door
(Card reader-1 no., Pushbar microswitch-1, EM lock-1, Door contact-1, Break glass unit-1 no. )","Nos.",0
"9.1 ACS","9.1","1.1.5","Door Type - H Non-Emergency Double Leaf Door - Dual card reader
(Card reader-1no. Pushbar microswitch-2, EM lock-2 nos. Door contact-2 nos, Break glass unit-1no.)","Nos.",0
"9.1 ACS","9.1","1.1.6","Door Type - L Rolling Shutter (Open & Close Command & Feedback in ACS)","Nos.",0
"9.1 ACS","9.1","1.2","ACCESS CONTROL SYTEM- CUB LEVEL-1M","Nos.",0
"9.1 ACS","9.1","1.2.1","Door Type - A1 Emergency Exit Single Leaf Door
(Door Contact, Buzzer)","Nos.",0
"9.1 ACS","9.1","1.2.2","Door Type - H Non-Emergency Double Leaf Door - Dual card reader
(Card reader-1no. Pushbar microswitch-2, EM lock-2 nos. Door contact-2 nos, Break glass unit-1no.)","Nos.",0
"9.1 ACS","9.1","1.3","ACCESS CONTROL SYTEM- FAB LEVEL-1","Nos.",0
"9.1 ACS","9.1","1.3.1","Door Type - A1 Emergency Exit Single Leaf Door
(Door Contact, Buzzer)","Nos.",0
"9.1 ACS","9.1","1.3.2","Door Type - A2 Emergency Exit Double Leaf Door
(Door Contact-2 nos, PushBar, Buzzer)","Nos.",0
"9.1 ACS","9.1","1.3.3","Door Type - C Non-Emergency Double Leaf Door
(Card reader -2 nos., EM lock-2 nos, Door contact-2 nos, Break glass unit-1no. )","Nos.",0
"9.1 ACS","9.1","1.3.4","Door Type - D Non-Emergency Single Leaf Door
(Card reader-1 no., Pushbar microswitch-1, EM lock-1, Door contact-1, Break glass unit-1 no. )","Nos.",0
"9.1 ACS","9.1","1.3.5","Door Type - H Non-Emergency Double Leaf Door 
(Card reader-1no. Pushbar microswitch-2, EM lock-2 nos. Door contact-2 nos, Break glass unit-1no.)","Nos.",0
"9.1 ACS","9.1","1.3.6","Door Type - O Non-Emergency Sliding Door -
(Card reader-1no. Outpushbutton-1no., Break glass unit-1no.)","Nos.",0
"9.1 ACS","9.1","1.4","ACCESS CONTROL SYSTEM DOOR RELEASE OVERRIDE SWITCH","",0
"9.1 ACS","9.1","1.4.1","Door Release Override  Switch / Key with required cable","Nos.",0
"9.1 ACS","9.1","2.1","Hot Dip Galvanised Cables Tray - 300  mm","m",0
"9.1 ACS","9.1","2.2","Hot Dip Galvanised Cables Tray - 200  mm","m",0
"9.1 ACS","9.1","2.3","Hot Dip Galvanised Cables Tray - 100  mm","m",0
"9.1 ACS","9.1","2.4","PVC Conduit (with all required fitting) 27mm","m",0
"9.1 ACS","9.1","3.1","Control Cables - 8C x 1.0 Sq.mm","m",0
"9.1 ACS","9.1","3.2","Control Cables - 4C x 1.0 Sq.mm","m",0
"9.1 ACS","9.1","3.3","Communication Cable RS 485 Cables - 4C x 1.0 Sq.mm - Belden","m",0
"9.1 ACS","9.1","3.4","Power Cables - 3C x 2.5 Sq.mm","m",0
"9.1 ACS","9.1","3.5","Control Cables - 2C x 1.0 Sq.mm","m",0
"9.1 ACS","9.1","3.6","Earthing - 1C x 10 Sq.mm","m",0
"9.1 ACS","9.1","4.1","Supply, Installation, Testing & Commissioning of ACS system as per the requirements mentioned in RFQ documents. Configuration and Modification within exitsing ACS System. Integration with third party system - Fire Alarm System.","Lot",0
"9.2 FAS","9.2","1.1","4 Loop panel with redundant power supply and battery backup, 
Make: Edwards, Model: EST-4","Nos.",0
"9.2 FAS","9.2","2.1","Multisensing Detector - Safe Area
Make: Edwards, Model: SIGA-OSHD-FCN","Nos.",0
"9.2 FAS","9.2","2.2","Multisensing Detector - Explosive Area
Make: Edwards, Model: Contractor to Specify","Nos.",0
"9.2 FAS","9.2","2.3","Multisensing Detector - Corrosive Area
Make: Edwards, Model: Contractor to Specify","Nos.",0
"9.2 FAS","9.2","2.4","Hooter Cum Strobe
Make: Edwards, Model: G1AVRF+SIGA-CC1","Nos.",0
"9.2 FAS","9.2","2.5","Manual Call Point
Make: Edwards, Model: SIGA-270","Nos.",0
"9.2 FAS","9.2","2.6","UVIR Detector
Make: Edwards. Model: Contractor to Specify","Nos.",0
"9.2 FAS","9.2","2.7","OSID Detector, Safe Area
Make: Edwards, Model: Contractor to Specify","Nos.",0
"9.2 FAS","9.2","2.8","Smoke Detector - HVAC
Make: Contractor to Specify, Model: Contractor to Specify","Nos.",0
"9.2 FAS","9.2","3.1","HSSD System along with Power supply unit, battery backup, tubing accessories, etc. 
Make: Xtralis, Model: VEP-A00-P","Nos.",0
"9.2 FAS","9.2","4.1","Hot Dip Galvanised Perforated Cables Tray - 300  mm","m",0
"9.2 FAS","9.2","4.2","Hot Dip Galvanised Perforated Cables Tray - 200  mm","m",0
"9.2 FAS","9.2","4.3","Hot Dip Galvanised Perforated Cables Tray - 100  mm","m",0
"9.2 FAS","9.2","4.4","PVC Conduit (with all required fitting) - 27mm","m",0
"9.2 FAS","9.2","4.5","Hot Dip Galvanised GI Conduits (with all required fitting - G-clamps, tie rods, U-clamps, nut bolts, washer, gaskets etc ) - 25  mm","m",0
"9.2 FAS","9.2","5.1","Portable telephone set with jack, faceplate, enclosures, and all required accessories etc.
Make: Edwards, Model: 6833-4","Nos.",0
"9.2 FAS","9.2","6.1","Loop Cable - 2C x 1.5 Sq.mm 
PVC, LSZH, Un-armoured, Annealed tinned copper, stranded, shielded, Fire Resistance (950 deg. C 3 hrs),600/1000 V","m",0
"9.2 FAS","9.2","6.2","Power Cable - 3C x 2.5 Sq.mm
PVC, LSZH, Un-armoured, Copper, stranded, Fire Resistance (950 deg. C 3 hrs),600/1000 V","m",0
"9.2 FAS","9.2","6.3","Telephone Cable  - 2C x 1.5 Sq.mm
PVC, LSZH, Un-armoured, Annealed tinned copper, screened, shielded, Fire Resistance (950 deg. C 3 hrs)","m",0
"9.2 FAS","9.2","6.4","Single mode Fiber Optic Cable  - 12C
PVC, LSZH, Un-armoured, Fire Resistance (950 deg. C 3 hrs)","m",0
"9.2 FAS","9.2","6.5","Splicing of existing FO Cables","Nos.",0
"9.2 FAS","9.2","6.6","Earthing Cables, 
1C x 10 Sq.mm","m",0
"9.2 FAS","9.2","8.1","Fire Fighting System - Flow Switch","Nos.",0
"9.2 FAS","9.2","8.2","Fire Fighting System - Isolation Valve with Temper switch","Nos.",0
"9.2 FAS","9.2","8.3","Fire Fighting System - Air Vent Valve With Temper Switch","Nos.",0
"9.2 FAS","9.2","8.4","Gas Suppression Systems Rooms -","Nos.",0
"9.2 FAS","9.2","8.5","Facility Management And Control System (FMCS)","Nos.",0
"9.2 FAS","9.2","8.6","Access Control System","Nos.",0
"9.2 FAS","9.2","8.7","HVAC - RCU","Nos.",0
"9.2 FAS","9.2","8.8","HVAC - FFU ZONES","Nos.",0
"9.2 FAS","9.2","8.9","HVAC -MAU","Nos.",0
"9.2 FAS","9.2","8.10","HVAC-AHU","Nos.",0
"9.2 FAS","9.2","8.11","HVAC-CRMAU","Nos.",0
"9.2 FAS","9.2","8.12","HVAC- Exhaust Fans","Nos.",0
"9.2 FAS","9.2","8.13","HVAC- FCU","Nos.",0
"9.2 FAS","9.2","8.14","HVAC- Cassette","Nos.",0
"9.3 CCTV","9.3","1.1","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Safe Area,
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","1.2","Supply, Installation, Testing & Commissioning of CCTV Camera -
Bullet Type, Safe Area
Make: Hanwa, Model No: XNO-6080R","Nos.",0
"9.3 CCTV","9.3","1.3","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Ex-Proof
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","1.4","Supply, Installation, Testing & Commissioning of CCTV Camera -
Bullet Type, Corrosion Resistance
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","2.1","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Safe Area,
Make: Contractor to Specify, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","2.2","Supply, Installation, Testing & Commissioning of CCTV Camera -
Bullet Type, Safe Area
Make: Hanwa, Model No: XNO-6080R","Nos.",0
"9.3 CCTV","9.3","2.3","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Ex-Proof
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","2.4","Supply, Installation, Testing & Commissioning of CCTV Camera -
Bullet Type, Corrosion Resistance
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","3.1","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Safe Area,
Make: Contractor to Specify, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","3.2","Supply, Installation, Testing & Commissioning of CCTV Camera -
Bullet Type, Safe Area
Make: Hanwa, Model No: XNO-6080R","Nos.",0
"9.3 CCTV","9.3","3.3","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Ex-Proof
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","3.4","Supply, Installation, Testing & Commissioning of CCTV Camera -
Bullet Type, Corrosion Resistance
Make: Contractor to Specify, 2MP, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","4.1","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Safe Area,
Make: Contractor to Specify, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","5.1","Supply, Installation, Testing & Commissioning of CCTV Camera -
Dome Type, Ex-Proof,
Make: Contractor to Specify, Model No: Contractor to Specify","Nos.",0
"9.3 CCTV","9.3","6.1","Supply, Installation, Testing & Commissioning of CCTV System as per the requirements mentioned in RFQ documents, Installation, testing and commissioning of existing cameras, Modification or the relocation of existing CCTV, Configuration and hookup with the existing CCTV System.","Lot",0
"9.4 PA","9.4","1.1","IP Based, 600W, 19'' Rack mounted, 4 Channel
Make- Bosch, Model-PRA-AD604 with Power Supply Unit","Nos.",0
"9.4 PA","9.4","2.1","CUB LEVEL-1","",0
"9.4 PA","9.4","2.1.1","Speaker Horn Type 25W, Safe Area
Make- Bosch, Model-LBC3482/00","Nos.",0
"9.4 PA","9.4","2.1.2","Speaker Horn Type 25W, Corrosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.1.3","Speaker Box Type 12W, Safe Area
Make- Bosch, Model-LBD3903-D","Nos.",0
"9.4 PA","9.4","2.1.4","Speaker Box Type 12W, Corrosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.1.5","Speaker Box Type 12W, Explosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.1.6","Speaker Ceiling Mounted Type 6W, Safe Area
Make- Bosch, Model-LBD0606/10","Nos.",0
"9.4 PA","9.4","2.1.7","Speaker Ceiling Mounted Type 6W, Explosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.2","CUB LEVEL-1M","",0
"9.4 PA","9.4","2.2.1","Speaker Horn Type 25W, Safe Area
Make- Bosch, Model-LBC3482/00","Nos.",0
"9.4 PA","9.4","2.2.2","Speaker Box Type 12W, Explosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.3","FAB LEVEL-1","",0
"9.4 PA","9.4","2.3.1","Speaker Horn Type 25W, Safe Area
Make- Bosch, Model-LBC3482/00","Nos.",0
"9.4 PA","9.4","2.3.2","Speaker Box Type 12W, Safe Area
Make- Bosch, Model-LBD3903-D","Nos.",0
"9.4 PA","9.4","2.3.3","Speaker Box Type 12W, Explosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.3.4","Speaker Box Type 12W, Corrosive Area
Make- Bosch, Model-Contractor to Specify","Nos.",0
"9.4 PA","9.4","2.4","FAB LEVEL-1M","",0
"9.4 PA","9.4","2.4.2","Speaker Horn Type 25W, Safe Area
Make- Bosch, Model-LBC3482/00","Nos.",0
"9.4 PA","9.4","3.1","Hot Dip Galvanised Perforated Cables Tray - 100  mm","m",0
"9.4 PA","9.4","3.2","PVC Conduit (with all required fitting) 27mm as per the requirement","m",0
"9.4 PA","9.4","4.1","Loop Cable, PVC, LSZH, Fire Resistance (950 deg. C 3 hrs),600/1000 V, Annealed Tinned Copper, Shielded,
2C x 1.5,Sq.mm","m",0
"9.4 PA","9.4","4.2","Power Cable, Copper, PVC,LSZH, Fire Resistance,1100 V
3C x 2.5 Sq.mm","m",0
"9.4 PA","9.4","4.3","Earthing Cables, 
1C x 10 Sq.mm","m",0
"9.4 PA","9.4","5.1","Supply, Installation, Testing & Commissioning of PA system as per the requirements mentioned in RFQ documents. Configuration and Modification within existing PA System. Integration with third party system - Fire Alarm System, FMCS System, Life Safety System, etc.","Lot",0
"9.5 FMCS","9.5","1.3","Development and configration of SCADA graphics, programming of Automation system including integration with other third party system, duplication of Chemical, Gas &Water(UPW,WWTP) SCADA in FMCS System as per RFQ documents (MSI-1-MH-SPEC-I-00083)","Lot",1
"9.5 FMCS","9.5","1.4","Development and configration of SCADA graphics, programming of Automation systemfor the Srcubber System as per RFQ documents (MSI-1-MH-SPEC-I-00083)","Lot",1
"9.5 FMCS","9.5","2.1","Interagtion of FMCS With Third party along with Leak detection system as per Document (MSI-1-MH-LIS-I-00084), considering the development of SCADA graphics, Programming logics, interlocks, etc in FMCS System  and modification in the existing FMCS system.","Lot",1
"9.5 FMCS","9.5","3.1","FIELD INSTRUMENTS - PROCESS","",0
"9.5 FMCS","9.5","3.1.1","Design, Supply, installation, testing & commissioning of Remote Universal Type Temperature Transmitter","No.",1
"9.5 FMCS","9.5","3.1.2","Design, Supply, installation, testing & commissioning of Temperature Element - RTD","No.",1
"9.5 FMCS","9.5","3.1.3","Design, Supply, installation, testing & commissioning of Thermowell","No.",1
"9.5 FMCS","9.5","3.1.4","Design, Supply, installation, testing & commissioning Compound / Absolute Pressure Gauge","No.",4
"9.5 FMCS","9.5","3.1.5","Design, Supply, installation, testing & commissioning of  Pressure Gauge - Bourdon Tube Type","No.",24
"9.5 FMCS","9.5","3.1.6","Design, Supply, installation, testing & commissioning of  Pressure Gauge - Diaphragm Seal Type","No.",28
"9.5 FMCS","9.5","3.1.7","Design, Supply, installation, testing & commissioning of  Pressure Switch - Diaphragm Seal Type","No.",2
"9.5 FMCS","9.5","3.1.8","Design, Supply, installation, testing & commissioning of  Pressure Transmitter - Non diaphragm Seal type","No.",17
"9.5 FMCS","9.5","3.1.9","Design, Supply, installation, testing & commissioning of  Pressure Transmitter - Diaphragm Seal type","No.",15
"9.5 FMCS","9.5","3.1.10","Design, Supply, installation, testing & commissioning of  Mass Flow Meter - Coriolis / Ultrasonic","No.",5
"9.5 FMCS","9.5","3.1.11","Design, Supply, installation, testing & commissioning of Point type leak detectors","No.",5
"9.5 FMCS","9.5","3.2","INSTRUMENTATION VALVES","",0
"9.5 FMCS","9.5","3.2.1","Supply, installation, testing & commissioning of Pneumatic Operated Control Valve -2 Way 80NB","No.",3
"9.5 FMCS","9.5","3.2.2","Supply, installation, testing & commissioning of Pneumatic Operated Control Valve -2 Way 100NB","No.",5
"9.5 FMCS","9.5","3.2.3","Supply, installation, testing & commissioning of Pneumatic Operated Control Valve -2 Way 150NB","No.",6
"9.5 FMCS","9.5","3.2.4","Supply, installation, testing & commissioning of Pneumatic Operated Control Valve -2 Way 200NB","No.",3
"9.5 FMCS","9.5","3.2.5","Supply, installation, testing & commissioning of Pneumatic Operated Control Valve -3 Way 200NB","No.",3
"9.5 FMCS","9.5","3.2.6","Supply, installation, testing & commissioning of  Pneumatic Operated On-Off Valve - Butterfly 80NB","No.",9
"9.5 FMCS","9.5","4.1","Design, Supply, installation, testing & commissioning LEL Detector","No.",1
"9.5 FMCS","9.5","4.2","Design, Supply, installation, testing & commissioning Oxygen Detector","No.",9
"9.5 FMCS","9.5","4.3","Design, Supply, installation, testing & commissioning Hydrogen Detector","No.",6
"9.5 FMCS","9.5","4.4","Design, Supply, installation, testing & commissioning of Siren / Hooter cum Flasher for LSS detector","No.",21
"9.5 FMCS","9.5","4.5","Emergency Push Button with enclosure","No.",3
"9.5 FMCS","9.5","5.1","Design, Supply, installation, testing & commissioning including Rope Type Water Leak Detection System considering 
Enclosure with Main Display and Relay Modules  - 1 no.","",0
"9.5 FMCS","9.5","5.1.1","Water Leak Detection Enclosure with Touch panel and realy module","No.",1
"9.5 FMCS","9.5","5.1.2","Water Leak Detection Enclosure with Display Panel and Realy Module","No.",2
"9.5 FMCS","9.5","5.1.3","SIM/Slave module with Enclosure with mounting accessories","No.",5
"9.5 FMCS","9.5","5.1.4","Water Leak Detection Sensor Cable","m",400
"9.5 FMCS","9.5","5.1.5","Modbus RS 485 cable","m",200
"9.5 FMCS","9.5","5.1.6","Hold Down Clip","Lot",1
"9.5 FMCS","9.5","6.1","Design, Supply, installation, testing & commissioning of Differential Pressure Switch for Fans","No.",35
"9.5 FMCS","9.5","6.2","Design, Supply, installation, testing & commissioning of Differential Pressure Switch for Pumps","No.",6
"9.5 FMCS","9.5","6.3","Design, Supply, installation, testing & commissioning of Differential Pressure Transmitter HVAC","No.",55
"9.5 FMCS","9.5","6.4","Installation, testing & commissioning of Differential Pressure Transmitter HVAC - Pressure Zone-5","No.",2
"9.5 FMCS","9.5","6.5","Design, Supply, installation, testing & commissioning of Static Pressure Transmitter - Duct Mounted","No.",12
"9.5 FMCS","9.5","6.6","Design, Supply, installation, testing & commissioning of pressure Gauge","No.",141
"9.5 FMCS","9.5","6.7","Design, Supply, installation, testing & commissioning of Temperature Gauge","No.",97
"9.5 FMCS","9.5","6.8","Design, Supply, installation, testing & commissioning of Thermowell","No.",80
"9.5 FMCS","9.5","6.9","Design, Supply, installation, testing & commissioning of Temperature Transmitter/Relative Humidity Sensor - Duct Type","No.",11
"9.5 FMCS","9.5","6.10","Design, Supply, installation, testing & commissioning of Temperature Transmitter/Relative Humidity Sensor - Extended Probe Type for Clean room","No.",6
"9.5 FMCS","9.5","6.11","Installation, testing & commissioning of Temperature Transmitter/Relative Humidity Sensor - Wall Mounted - Clean Room","No.",4
"9.5 FMCS","9.5","6.12","Installation, testing & commissioning of Temperature Transmitter/Relative Humidity Sensor - Extended Probe Type - Clean Room","No.",4
"9.5 FMCS","9.5","6.13","Design, Supply, installation, testing & commissioning of Temperature Transmitter/Relative Humidity Sensor - Wall Mounted - Non - Clean room","No.",9
"9.5 FMCS","9.5","6.14","Design, Supply, installation, testing & commissioning of Temperature Transmitter - Duct Mounted","No.",10
"9.5 FMCS","9.5","6.15","Design, Supply, installation, testing & commissioning of Temperature Transmitter - Flexible Probe Type - Unit Mounted","No.",28
"9.5 FMCS","9.5","6.16","Design, Supply, installation, testing & commissioning of Temperature Transmitter - Wall Mounted - Non Clean Room","No.",4
"9.5 FMCS","9.5","6.17","Design, Supply, installation, testing & commissioning of Vibration Transmitter","No.",12
"9.5 FMCS","9.5","6.18","Design, Supply, installation, testing & commissioning of Duct Mounted Smoke Detector","No.",3
"9.5 FMCS","9.5","7.1","Supply, installation, testing(loop checking) of Analog cable - 1P x 1.0 Sqmm, Annealed tinned copper  Single/ Multi twisted pair, Individual & Overall Screened, Multistranded,XLPE, (LSZH) Flame retardant, with drain wire, Un-armoured, 300V.","m",12000
"9.5 FMCS","9.5","7.199999999999999","Supply, installation, testing(loop checking) of Analog cable - 2P x 1.0 Sqmm, Annealed tinned copper  Single/ Multi twisted pair, Individual & Overall Screened, Multistranded,XLPE, (LSZH) Flame retardant, with drain wire, Un-armoured, 300V.","m",8000
"9.5 FMCS","9.5","7.299999999999999","Supply, installation, testing & commissioning of Analog cable - 6P x 1.0 Sqmm, Annealed tinned copper Single/ Multi twisted pair, Individual & Overall Screened, Multistranded,XLPE, (LSZH) Flame retardant, with drain wire, Un-armoured, 300V.","m",1000
"9.5 FMCS","9.5","7.399999999999999","Supply, installation, testing & commissioning of Analog cable - 12P x 1.0 Sqmm, Annealed tinned copper Single/ Multi twisted pair, Individual & Overall Screened, Multistranded,XLPE, (LSZH) Flame retardant, with drain wire, Un-armoured, 300V.","m",4000
"9.5 FMCS","9.5","7.499999999999998","Supply, installation, testing & commissioning of Control cable - 3C x 1.5 Sqmm, Annealed tinned copper Overall Screened, Multistranded, XLPE, (LSZH) Flame  retardant, Un-armoured, 1100V.","m",10000
"9.5 FMCS","9.5","7.599999999999998","Supply, installation, testing & commissioning of Control cable - 5C x 1.5 Sqmm, Annealed tinned copper Overall Screened, Multistranded, XLPE, (LSZH) Flame  retardant, Un-armoured, 1100V.","m",12000
"9.5 FMCS","9.5","7.6999999999999975","Supply, installation, testing & commissioning of Control cable - 12C x 1.5 Sqmm, Annealed tinned copper Overall Screened, Multistranded, XLPE, (LSZH) Flame  retardant, Un-armoured, 1100V.","m",9000
"9.5 FMCS","9.5","7.799999999999997","Supply, installation, testing & commissioning of Control cable - 36C x 1.5 Sqmm, Annealed tinned copper Overall Screened, Multistranded, XLPE, (LSZH) Flame  retardant, Un-armoured, 1100V.","m",2000
"9.5 FMCS","9.5","7.899999999999997","Supply, installation, testing & commissioning of Power cable - 3C x 2.5 Sqmm, Annealed tinned copper Overall Screened, Multistranded, XLPE, (LSZH) Flame  retardant, Un-armoured, 1100V.","m",2000
"9.5 FMCS","9.5","7.10","Supply, installation, testing & commissioning of Triad Cable - 1T x 1.0 Sqmm, Annealed tinned copper Overall Screened, Multistranded, XLPE, (LSZH) Flame  retardant, Un-armoured, 300V.","m",50
"9.5 FMCS","9.5","7.11","Supply, installation, testing & commissioning of Industrial Ethernet Cable - UTP CAT6A, ENET IP 10GBPS.","m",1500
"9.5 FMCS","9.5","7.12","Supply, installation, testing & commissioning of Industrial Ethernet Cable - UTP MODBUS RS485 (4C x 0.75 sqmm)","m",500
"9.5 FMCS","9.5","7.13","Supply, installation, testing & commissioning of Optical fiber, PVC polyvinylchloride, 12F, single-mode including OTDR Testing","m",1000
"9.5 FMCS","9.5","7.14","Supply, installation, testing & commissioning of Earthing Cable Copper, Multi strander 1C x 10 Sqmm","m",500
"9.5 FMCS","9.5","8.1","Supply, Installation, testing & commissioning of Junction Box - SS316 IP65 24 TB","Nos",5
"9.5 FMCS","9.5","8.2","Supply, Installation, testing & commissioning of Junction Box - SS316 IP65 32 TB","Nos",10
"9.5 FMCS","9.5","8.299999999999999","Supply, Installation, testing & commissioning of Junction Box - SS316 IP65 60 TB","Nos",15
"9.5 FMCS","9.5","9.1","Supply & Installation of GI Rigid Conduit 27 mm with all mounting Accessories","m",300
"9.5 FMCS","9.5","9.2","Supply & Installation of 100(W) x 50(H) x 2(T) x GI Perforated cable tray Cable with unistrut support at every 1 meter and all required accessories (Reducers, bend, couplers, etc)","m",1500
"9.5 FMCS","9.5","9.299999999999999","Supply & Installation of 50(W) x 50(H) x 2(T) x GI Perforated cable tray Cable with unistrut support at every 1 meter and all required accessories (Reducers, bend, couplers, etc)","m",400
"9.5 FMCS","9.5","9.399999999999999","Supply & Installation of 200(W) x 50(H) x 2(T) x GI Perforated cable tray Cable with unistrut support at every 1 meter and all required accessories (Reducers, bend, couplers, etc)","m",1000
"9.5 FMCS","9.5","9.499999999999998","Installation of 100(W) x 50(H) x 2(T) x GI Perforated cable tray Cable with unistrut support at every 1 meter and all required accessories (Reducers, bend, couplers, etc)","m",100
"9.5 FMCS","9.5","9.599999999999998","Installation of 50(W) x 50(H) x 2(T) x GI Perforated cable tray Cable with unistrut support at every 1 meter and all required accessories (Reducers, bend, couplers, etc)","m",50
"9.5 FMCS","9.5","9.699999999999998","Installation of 300(W) x 50(H) x 2(T) x GI Perforated cable tray Cable with unistrut support at every 1 meter and all required accessories (Reducers, bend, couplers, etc)","m",200
"9.5 FMCS","9.5","10.1","Supply & Installation Erection hardware items for Instruments As per Hookup (DE-MSI1-ALL-B-001-I-138)","Lot.",1
"9.5 FMCS","9.5","12.1","Supply, Installation, testing of A3/A4 Size Colour LaserJet Printer.","Nos",1
"9.5 FMCS","9.5","13.1","Design, Supply, Installation of Printer Table for A3/A4 Color printer including Required Electrical Items(MCB, PDU, RJ-45, switch, Power Socket, etc...) Wiring and other accessories.","Nos",1
"9.5 FMCS","9.5","17.1","Design, Supply, Installation, testing & commissioning of  ""42U"" Server Rack with Power supply components and mounting Accessories","Nos",2
"9.5 FMCS","9.5","19.1","Supply, Installation, testing & commissioning of Laptop based Engineering Station
Processor - Intel Core i7 Processor 12C or above
RAM - 64 GB
Storage - 2GB
Graphics - 4GB
Operating System - Latest Windows + LTCS
Antivirus - Symantec Antivirus software
Wireless keyboard & Mouse","Nos",1
"9.5 FMCS","9.5","","NOTES :","",0
"9.5 FMCS","9.5","","1. All the instruments must be complied to the technical requirements specificated in the Technical Datasheets 
(MSI-1-MH-DS-I-00086)","",0
"9.5 FMCS","9.5","","2. The supplied components must meet the minimum specification specified in the RFQ technical specification (MSI-1-MH-SPEC-I-00083)","",0
"9.5 FMCS","9.5","","3. Chairs, storage cabinet and meeting table Required in TGCM Room shall be Supplyed by Architectur-GC","",0
"9.5 FMCS","9.5","","4. Panel mounted OWS shall be provided by WWTP supplier for the operation of WWTP","",0
"9.5 FMCS","9.5","","5. Installation and Cabling of H2 detector for the Tool exhaust will be done by the Tool hookup vendor. Detectors will be supplied by FMCS / General contractor","",0
"9.6 IT","9.6","1.2","Horizontal Cable Management for Open Racks - 42 U
1U, 22 Slot Rack Mount Horizontal Cable Manager Duct Raceway with Cover & Screws for 19""","Lot.",1
"9.6 IT","9.6","1.3","Vertical Cable Management for Open Racks - 12U with cover & screws for 19"" 
Close Rack - WTCOpen Rack - POD","Lot.",1
"9.6 IT","9.6","2.1","Fiber Patch Panel","",6
"9.6 IT","9.6","2.1.1","1U 19"" 48F Port LC Multimode Fibre Optic Patch Panel fully loaded with all accessories","Nos.",1
"9.6 IT","9.6","2.1.2","1U 19"" 48F Port LC Singlemode Fibre Optic Patch Panel fully loaded with all accessories","Nos.",5
"9.6 IT","9.6","2.2","RJ45 Patch Panel","",4
"9.6 IT","9.6","2.2.1","1U 19"" 24-port, UTP CAT6A Patch panel fully loaded with all accessories Krone type.","Nos.",4
